itemLabel,universeLabel
Harvey Dent,Nolanverse
Elektra Natchios,Earth-701306
Hermione Granger,Harry Potter
Lord Voldemort,Harry Potter
Rubeus Hagrid,Harry Potter
Draco Malfoy,Harry Potter
Dolores Umbridge,Harry Potter
James Potter,Harry Potter
Fleur Delacour,Harry Potter
Cho Chang,Harry Potter
Cedric Diggory,Harry Potter
Gilderoy Lockhart,Harry Potter
Narcissa Malfoy,Harry Potter
Cornelius Fudge,Harry Potter
Pomona Sprout,Harry Potter
Quirinus Quirrell,Harry Potter
Phineas Nigellus Black,Harry Potter
Barty Crouch,Harry Potter
Gabrielle Delacour,Harry Potter
Ludo Bagman,Harry Potter
Gellert Grindelwald,Harry Potter
Horace Slughorn,Harry Potter
Morfin Gaunt,Harry Potter
Xenophilius Lovegood,Harry Potter
Ernie Prang,Harry Potter
Emmeline Vance,Harry Potter
Bill Weasley,Harry Potter
Parvati Patil,Harry Potter
Albus Severus Potter,Harry Potter
Poppy Pomfrey,Harry Potter
Pansy Parkinson,Harry Potter
Alice Longbottom,Harry Potter
Ted Tonks,Harry Potter
Rose Granger-Weasley,Harry Potter
Jimmy Peakes,Harry Potter
Rolanda Hooch,Harry Potter
John Dawlish,Harry Potter
Antioch Peverell,Harry Potter
Astoria Greengrass,Harry Potter
Cadmus Peverell,Harry Potter
Dedalus Diggle,Harry Potter
Elphias Doge,Harry Potter
Grogan Stump,Harry Potter
Helena Ravenclaw,Harry Potter
Herbert Beery,Harry Potter
Justin Finch-Fletchley,Harry Potter
Kendra Dumbledore,Harry Potter
Mafalda Hopkirk,Harry Potter
Ogg,Harry Potter
Susan Bones,Harry Potter
James Sirius Potter,Harry Potter
Anthony Goldstein,Harry Potter
Artemisia Lufkin,Harry Potter
Avery,Harry Potter
Demelza Robins,Harry Potter
Dilys Derwent,Harry Potter
Damocles Rowle,Harry Potter
Kennilworthy Whisp,Harry Potter
Penelope Clearwater,Harry Potter
Roger Davies,Harry Potter
Selwyn,Harry Potter
Terry Boot,Harry Potter
Corban Yaxley,Harry Potter
Zacharias Smith,Harry Potter
Bart Simpson,The Simpsons
Lisa Simpson,The Simpsons
Toph Beifong,World of Avatar
Eric Cartman,South Park
Ike Broflovski,South Park
Bebe Stevens,South Park
Tolkien Black,South Park
Pip Pirrup,South Park
Spirit,DC
Huntress,DC
She-Ra,Masters of the Universe
Angelica Pickles,Rugrats
Edmund Pevensie,Narnia
Lucy Pevensie,Narnia
Katara,World of Avatar
Azula,World of Avatar
Zuko,World of Avatar
Sokka,World of Avatar
Ty Lee,World of Avatar
Nemo,Finding Nemo
Arya Stark,World of Ice and Fire
Bow,Masters of the Universe
Danny Torrance,Multiverse
Hugo Simpson,The Simpsons
Judy Jetson,The Jetsons
Suki,World of Avatar
Catra,Masters of the Universe
Frosta,Masters of the Universe
Mai,World of Avatar
Newt Jorden,Alien
Robert Arryn,World of Ice and Fire
Aegon Targaryen,World of Ice and Fire
Batman,DC Animated
Lonnie,Masters of the Universe
Kyle,Masters of the Universe
Jim Button,Jim Button
Cody Bennett,Dexter
Kai,World of Avatar
Meelo,World of Avatar
Jinora,World of Avatar
Ikki,World of Avatar
Sonny,Star Trek
Xosha James,Space Jam
Wang Ai Ling,Lilo & Stitch
Kiyi,World of Avatar
Kuzon,World of Avatar
Rohan,World of Avatar
Jet,World of Avatar
Murdoch Maxwell,Teenage Mutant Ninja Turtles
Rocksteady,Teenage Mutant Ninja Turtles
Patrick Miller,Teenage Mutant Ninja Turtles
Traag,Teenage Mutant Ninja Turtles
Rat King,Teenage Mutant Ninja Turtles
Elan,Teenage Mutant Ninja Turtles
Innardo,Teenage Mutant Ninja Turtles
Bookwurm,Teenage Mutant Ninja Turtles
David Ling,Teenage Mutant Ninja Turtles
Lucass,Teenage Mutant Ninja Turtles
Acre farmer,Teenage Mutant Ninja Turtles
Joe Dalton,Lucky Luke
Ashe,Overwatch
Leonardo,Teenage Mutant Ninja Turtles
Leonardo,Teenage Mutant Ninja Turtles
Splinter,Teenage Mutant Ninja Turtles
Hamato Yoshi,Teenage Mutant Ninja Turtles
Grunt,Teenage Mutant Ninja Turtles
Aruna,DC
Rat King,Teenage Mutant Ninja Turtles
Jitsu,Masters of the Universe
Quenthel Baenre,Forgotten Realms
Storm Silverhand,Forgotten Realms
Ape-Man,Marvel
Ape-Man,Earth-616
Kierrok,Marvel
Kierrok,Earth-616
Maa-Gor,Marvel
Maa-Gor,Earth-616
Sharon Xavier,Marvel
Sharon Xavier,Earth-616
Kathryn Worthington,Marvel
Kathryn Worthington,Earth-616
Norton McCoy,Marvel
Norton McCoy,Earth-616
Eel,Marvel
Eel,Earth-616
Defender,Marvel
Defender,Earth-616
Mekano,Marvel
Mekano,Earth-616
Slar,Marvel
Slar,Earth-616
Ellie Roberts,Marvel
Ellie Roberts,Earth-616
Joseph MacTaggert,Marvel
Joseph MacTaggert,Earth-616
Carl Maddicks,Marvel
Carl Maddicks,Earth-616
Paul Hamilton,Marvel
Paul Hamilton,Earth-616
Charlie Murphy,Marvel
Nighthawk,DC
Quasar,Marvel
Brainiac 5,DC
Doctor Eggman,Q123861879
Sokka,World of Avatar
Little Helper,Donald Duck
Splinter,Teenage Mutant Ninja Turtles
Shriek,Marvel
Solomon Grundy,DC
Valkyrie,Marvel
Ace the Bat-Hound,DC
Trudy Van Tubb,Mickey Mouse
Fantomialde,Donald Duck
Tyvokka,Star Wars
Ivan Ivanovitch Sakharine,Tintin
Killer Shrike,Marvel
Tiger Shark,Marvel
Uncle Ben,Marvel
Uncle Ben,Earth-616
Geriatrix,Asterix
Ibac,DC
Inertia,DC
Karima Shapandar,Marvel
Moira MacTaggert,Marvel
Moira MacTaggert,Earth-616
Boomslang,Marvel
Q2386197,World of Troy
Humphrey the Bear,Donald Duck
Captain Britain,Marvel
Captain Britain,Earth-616
Firelord,Marvel
Firelord,Earth-616
Superman,Earth-Two
Steve Trevor,DC
Destroyer,Marvel Cinematic
Destroyer,Marvel
Mole Man,Marvel
Mole Man,Earth-616
Silvermane,Marvel
Lilandra Neramani,Marvel
Lilandra Neramani,Earth-616
Fantomex,Marvel
Fin Fang Foom,Marvel
Eric the Red,Marvel
Mirror Master,DC
Detective Casey,Mickey Mouse
Toxin,Marvel
Witch Hazel,Donald Duck
Darth Malak,Star Wars
Hammerhead,Marvel
Bette Kane,DC
King Lion,Forest
Captain Nazi,DC
Box,Marvel
Box,Earth-616
Vixen,DC
Lady Octopus,Marvel
Ravager,DC
Needle,Marvel
Airen Cracken,Star Wars
Tyr,Marvel
Blackout,Marvel
Blaquesmith,Marvel
Krona,DC
Titanium Man,Marvel
Cian,World of Troy
Cadaver,Marvel
Heinz Doofenshmirtz,Phineas and Ferb
Crusader,Marvel
Doctor Druid,Marvel
Donald Duckling,Donald Duck
